Codigo;Detalle;Stock;Precio
317;PINT. AL AGUA (S) CREMA X 4KGS. (BOLSON X 5 UNID);0;6731.97
318;PINT. AL AGUA (S) GRIS X 4KGS. (BOLSON X 5 UN.);0;6731.97
319;PINT. AL AGUA (S) ROSA X 4KGS. (BOLSON X 5 UNID);6.00;6731.97
320;AEROSOL ALUMINIO ALTA TEMP X240 CM3;7.00;6873.59
321;AEROSOL NEGRO ALTA TEMP  X240 CM3;2.00;7604.01
323;AEROSOL ESM. SINT. AMARILLO X 240 CM3;5.00;4611.86
326;AEROSOL ESM. SINT. AZUL MARINO X240 CM3;0;4611.86
329;AEROSOL ESM. SINT. AZUL TRAFUL X240 CM3;10.00;4611.86
332;AEROSOL ESM. SINT. BERMELLON X240 CM3;5.00;4611.86
334;AEROSOL ESM. SINT. BLANCO MATE X240CM3;10.00;4611.86
336;AEROSOL ESM. SINT. BLANCO SATIN. X240 CM3;9.00;4611.86
337;AEROSOL ESM. SINT. BLANCO X 240 CM3;20.00;4611.86
340;AEROSOL ESM. SINT. GRIS ESPACIAL X240 CM3;4.00;4611.86
345;AEROSOL ESM. SINT. NARANJA X 240 CM3;3.00;4611.86
347;AEROSOL ESM. SINT. NEGRO MATE X 240CM3;7.00;4611.86
351;AEROSOL ESM. SINT. NEGRO X 240 CM3;18.00;4611.86
357;AEROSOL ESM. SINT. UVA X 240 CM3;0.00;4611.86
362;AEROSOL ESM. SINT. VERDE INGLES X240 CM3;2.00;4611.86
365;AEROSOL ESM. SINT. VIOLETA X 240 CM3;6.00;4611.86
381;AEROSOL METALIZ. ORO X 240 CM3;12.00;7369.04
383;AEROSOL METALIZ. PLATA X 240 CM3;3.00;6222.44
391;ESPUMA DE POLIURETANO 300ML;26.00;10545.83
392;ESPUMA DE POLIURETANO 500ML;0;13514.17
393;ESPUMA DE POLIURETANO 750 ML;0;18181.46
394;VENTO ANTIOXIDO (PACK X 4) BLANCO X 1 LT.;3.00;9483.15
395;VENTO ANTIOXIDO BLANCO X 4 LTS.;1.00;34321.70
396;VENTO ANTIOXIDO (PACK X 4) BLANCO X 500 CC.;0;5655.54
397;VENTO ANTIOXIDO (PACK X 4) GRIS X 1 LT.;0;9483.15
398;VENTO ANTIOXIDO GRIS X 200 LTS;0.00;1394352.04
399;VENTO ANTIOXIDO GRIS X 4 LTS.;2.00;34321.70
400;VENTO ANTIOXIDO (PACK X 4) GRIS X 500 CC.;0;5655.54
401;VENTO ANTIOXIDO (PACK X 4) NEGRO X 1 LT;15.00;8984.04
402;VENTO ANTIOXIDO NEGRO X 200 LTS;0.00;1400423.11
403;OF.- VENTO ANTIOXIDO NEGRO X 4 LTS;1.00;34321.70
404;VENTO ANTIOXIDO (PACK X 4) NEGRO X 500 CC.;13.00;5655.54
405;VENTO ANTIOXIDO (PACK X 4) ROJO X 1 L;0.00;9483.15
406;VENTO ANTIOXIDO ROJO X 200 LTS;0.00;1400423.11
407;VENTO ANTIOXIDO ROJO X 4 L;2.00;34321.70
408;VENTO ANTIOXIDO (PACK X 4) ROJO X 500 CC;0.00;5655.54
409;VENTO BARNIZ (PACK X 4) X 1 L;14.00;11194.91
410;VENTO BARNIZ (PACK X 6) X 250 CC;0;4077.36
411;VENTO BARNIZ X 4 L;0.00;42009.05
412;VENTO BARNIZ (PACK X 4) X 500 CC;9.00;6776.69
413;VENTO 4 EN 1  ALUMINIO X 20 LTS.;0.00;162504.68
414;VENTO 4 EN 1 ALUMINIO (PACK X4) X 1 LT.;0.00;11866.16
415;VENTO 4 EN 1 ALUMINIO (PACK X 6) X 250 CC.;0.00;510.31
416;VENTO 4 EN 1 ALUMINIO X 4 LTS.;0;4690.72
417;VENTO 4 EN 1 ALUMINIO (PACK X 4) X 500  CC;0.00;4667.52
418;VENTO 4 EN 1 AZUL MARINO (PACK X 4) X 1LT.;0.00;12899.31
419;VENTO 4 EN 1 AZUL MARINO (PACK X 6) X 250 CC.;0.00;3991.09
420;VENTO 4 EN 1 AZUL MARINO X 4LTS.;0.00;47586.04
421;VENTO 4 EN 1 AZUL MARINO (PACK X 4) X 500 CC.;0;7463.25
422;VENTO 4 EN 1 BERMELLON (PACK X 4) X 1 LT.;0;12899.31
423;VENTO 4 EN 1 BERMELLON (PACK X 6) X 250 CC.;1.00;3991.09
424;VENTO 4 EN 1 BERMELLON X 4 LTS.;0.00;47586.04
425;VENTO 4 EN 1 BERMELLON (PACK X 4) X 500 CC.;0;7463.25
426;VENTO 4 EN 1 BLANCO (PACK X 4) X 1 LT.;10.00;12899.31
427;VENTO 4 EN 1 BLANCO (PACK X 6) X 250 CC.;2.00;3991.09
428;VENTO 4 EN 1 BLANCO X 4 LTS.;3.00;47586.04
429;VENTO 4 EN 1 BLANCO (PACK X 4) X 500 CC.;14.00;7463.25
430;VENTO 4 EN 1 FUCSIA (PACK X 4) X 1 LT.;0;12899.31
431;VENTO 4 EN 1 FUCSIA (PACK X 6) X 250 CC.;0;3991.09
432;VENTO 4 EN 1 FUCSIA X 4 LTS.;0.00;47586.04
433;VENTO 4 EN 1 FUCSIA (PACK X 4) X 500 CC.;0.00;7463.25
434;VENTO 4 EN 1 GRIS (PACK X 4) X 1 LT.;0;12899.31
435;VENTO 4 EN 1 GRIS (PACK X 6) X 250 CC.;0;3991.09
436;VENTO 4 EN 1 GRIS X 4 LTS.;0.00;47586.04
437;VENTO 4 EN 1 GRIS (PACK X 4) X 500CC.;0.00;7463.25
438;VENTO 4 EN 1 NEGRO (PACK X 4) X 1 LT.;16.00;12899.31
439;VENTO 4 EN 1 NEGRO (PACK X 6) X 250 CC.;1.00;4029.10
440;VENTO 4 EN 1 NEGRO (PACK X 4) X 500 CC.;11.00;7463.25
441;OF.- VENTO 4 EN 1 NEGRO X 4 LT.;4.00;47586.04
442;VENTO 4 EN 1 TURQUESA (PACK X 4) X 1 LT.;0.00;12899.31
443;VENTO 4 EN 1 TURQUESA (PACK X 6) X 250 CC.;0.00;3991.09
444;VENTO 4 EN 1 TURQUESA X 4 LTS.;0.00;47586.04
445;VENTO 4 EN 1 TURQUESA (PACK X 4) X 500 CC.;0;7463.25
446;VENTO 4 EN 1 VERDE INGLES (PACK X 4) X 1 LT.;0.00;12899.31
447;VENTO 4 EN 1 VERDE INGLES (PACK X 6) X 250 CC.;0;3991.09
448;VENTO 4 EN 1 VERDE INGLES X 4 LTS.;0.00;47586.04
449;VENTO 4 EN 1 VERDE INGLES (PACK X 4) X 500 CC.;1.00;7463.25
450;VENTO 4 EN 1 VERDE MANZANA (PACK X 4) X 1 LT.;0;12899.31
451;VENTO 4 EN 1 VERDE MANZANA (PACK X 6) X 250 CC.;0;3991.09
452;VENTO 4 EN 1 VERDE MANZANA X 4 LTS.;0.00;47586.04
453;VENTO 4 EN 1 VERDE MANZANA (PACK X 4) X 500CC.;0.00;7463.25
454;VENTO 4 EN 1 VIOLETA (PACK X 4) X 1 LT.;0.00;12899.31
455;VENTO 4 EN 1 VIOLETA (PACK X 6) X 250 CC.;0.00;3991.09
456;VENTO 4 EN 1 VIOLETA X 4 LTS.;0.00;47586.04
457;VENTO 4 EN 1 VIOLETA (PACK X 4) X 500 CC.;0.00;7463.25
458;VENTO 4 EN 1 AMARILLO (PACK X 4) X 1LT.;1.00;12899.31
459;VENTO 4 EN 1 AMARILLO (PACK X 6) X 250CC.;1.00;3991.09
460;VENTO 4 EN 1 AMARILLO X 4LT.;0.00;47586.04
461;VENTO 4 EN 1 AMARILLO (PACK X 4) X 500 CC.;0.00;7463.25
462;VENTO 4 EN 1 NARANJA (PACK X 4) X 1L.;0;12899.31
463;VENTO 4 EN 1 NARANJA (PACK X 6) X 250CC.;0.00;3991.09
464;VENTO 4 EN 1 NARANJA X 4L.;0.00;47586.04
465;VENTO 4 EN 1 NARANJA (PACK X 4) X 500CC.;1.00;7463.25
466;VENTO 4 EN 1 AZUL TRAFUL (PACK X 4) X 1L.;0.00;12899.31
467;VENTO 4 EN 1 AZUL TRAFUL (PACK X 6) X 250CC.;1.00;3991.09
468;VENTO 4 EN 1 AZUL TRAFUL X 4L.;0.00;47586.04
469;VENTO 4 EN 1 AZUL TRAFUL (PACK X 4) X 500CC.;0.00;7463.25
470;VENTO ESM. SINT. BERMELLON (PACK X 4) X 1L.;6.00;11480.70
471;VENTO ESM. SINT. BERMELLON X 18 LTS.;0.00;179289.51
472;VENTO ESM. SINT. BERMELLON (PACK X 6) X 250CC.;0.00;3559.07
473;VENTO ESM. SINT. BERMELLON X 4L.;0.00;42217.23
474;VENTO ESM. SINT. BERMELLON (PACK X 4) X 500CC.;5.00;6653.61
475;VENTO ESM. SINT. BLANCO (PACK X 4) X 1 L.;22.00;11480.70
476;VENTO ESM. SINT. BLANCO (PACK X 6) X 250CC.;0;3582.18
477;VENTO ESM. SINT. BLANCO X 4 L.;4.00;42217.23
478;VENTO ESM. SINT. BLANCO (PACK X 4) X 500CC.;13.00;6653.61
